06/19/2020,09:30,126.17,126.77,125.7,125.73,1025896
06/19/2020,09:31,125.775,126.74,125.58,126.74,24297
06/19/2020,09:32,126.73,126.82,126.155,126.46,18608
06/19/2020,09:33,126.49,126.55,126.3312,126.54,24087
06/19/2020,09:34,126.51,126.51,126.25,126.3,17411
06/19/2020,09:35,126.35,126.4059,126.15,126.33,15301
06/19/2020,09:36,126.36,126.47,126.2,126.37,146
06/19/2020,09:37,126.41,126.43,126.23,126.255,14599
06/19/2020,09:38,126.25,126.35,125.95,125.95,20673
06/19/2020,09:39,125.94,126.23,125.94,126.19,11458
06/19/2020,09:40,126.19,126.285,125.99,126.07,12911
06/19/2020,09:41,126.0282,126.04,125.62,125.62,24049
