Date,Time,Open,High,Low,Close,Volume
06/19/2020,09:30,126.17,126.77,125.7,125.73,1025896
06/19/2020,09:31,125.775,126.74,125.58,126.74,24297
06/19/2020,09:32,126.73,126.82,126.155,126.46,18608
06/19/2020,09:33,126.49,126.55,126.3312,126.54,24087
06/19/2020,09:34,126.51,126.51,126.25,126.3,17411
06/19/2020,09:35,126.35,126.4059,126.15,126.33,15301
06/19/2020,09:36,126.36,126.47,126.2,126.37,14683
06/19/2020,09:37,126.41,126.43,126.23,126.255,14599
06/19/2020,09:38,126.25,126.35,125.95,125.95,20673
06/19/2020,09:39,125.94,126.23,125.94,126.19,11458
06/19/2020,09:40,126.19,126.285,125.99,126.07,12911
06/19/2020,09:41,126.0282,126.04,125.62,125.62,24049
06/19/2020,09:42,125.64,125.68,125.6,125.63,11384
06/19/2020,09:43,125.63,125.9029,125.62,125.874,14547
06/19/2020,09:44,125.96,125.9614,125.8,125.85,10453
06/19/2020,09:45,125.86,126.13,125.86,126.1,10611
06/19/2020,09:46,126.11,126.2499,126.09,126.2499,7506
06/19/2020,09:47,126.26,126.32,126.16,126.3112,8367
06/19/2020,09:48,126.32,126.37,126.2,126.31,11648
06/19/2020,09:49,126.32,126.32,126.26,126.265,9154
06/19/2020,09:50,126.28,126.37,126.2417,126.25,8347
06/19/2020,09:51,126.3417,126.4,126.31,126.31,4232
06/19/2020,09:52,126.31,126.315,126.04,126.1,7696
06/19/2020,09:53,126.11,126.18,126.0952,126.12,4852
06/19/2020,09:54,126.1155,126.215,126.1155,126.1582,3989
06/19/2020,09:55,126.18,126.22,126.06,126.06,7421
06/19/2020,09:56,126.05,126.07,125.9501,125.98,7302
06/19/2020,09:57,125.98,125.99,125.75,125.76,7986
06/19/2020,09:58,125.75,125.83,125.575,125.73,5969
06/19/2020,09:59,125.77,125.93,125.72,125.91,6513
06/19/2020,10:00,125.87,125.92,125.8,125.91,5321
06/19/2020,10:01,125.895,126.0444,125.81,125.89,10477
06/19/2020,10:02,125.93,126.09,125.89,126.07,4764
06/19/2020,10:03,126.09,126.13,126.0301,126.0301,3513
06/19/2020,10:04,126.05,126.1279,125.99,125.99,12379
06/19/2020,10:05,126.01,126.03,125.82,125.82,6044
06/19/2020,10:06,125.87,125.87,125.73,125.78,3148
06/19/2020,10:07,125.785,125.81,125.7201,125.76,4864
06/19/2020,10:08,125.75,125.77,125.71,125.77,4150
06/19/2020,10:09,125.79,125.79,125.59,125.61,4840
06/19/2020,10:10,125.61,125.62,125.51,125.57,3442
06/19/2020,10:11,125.59,125.6493,125.51,125.515,2228
06/19/2020,10:12,125.49,125.5,125.4,125.45,3028
06/19/2020,10:13,125.4847,125.4847,125.32,125.37,7078
06/19/2020,10:14,125.4,125.51,125.4,125.51,800
06/19/2020,10:15,125.58,125.61,125.57,125.61,2190
06/19/2020,10:16,125.635,125.74,125.635,125.74,2744
06/19/2020,10:17,125.76,125.79,125.69,125.71,5425
06/19/2020,10:18,125.72,125.72,125.638,125.68,3671
06/19/2020,10:19,125.69,125.69,125.62,125.69,2467
06/19/2020,10:20,125.69,125.69,125.6,125.6,2784
06/19/2020,10:21,125.595,125.595,125.52,125.58,2074
06/19/2020,10:22,125.61,125.6313,125.56,125.58,2556
06/19/2020,10:23,125.62,125.675,125.62,125.675,3135
06/19/2020,10:24,125.6686,125.75,125.6686,125.725,1825
06/19/2020,10:25,125.75,125.7585,125.67,125.69,4058
06/19/2020,10:26,125.73,125.735,125.54,125.545,2537
06/19/2020,10:27,125.57,125.577,125.52,125.52,2776
06/19/2020,10:28,125.52,125.65,125.52,125.5858,3718
06/19/2020,10:29,125.59,125.6279,125.579,125.59,1423
06/19/2020,10:30,125.61,125.61,125.45,125.47,6738
06/19/2020,10:31,125.47,125.5,125.45,125.46,2290
06/19/2020,10:32,125.47,125.5,125.26,125.26,13316
06/19/2020,10:33,125.2764,125.31,125.22,125.31,3197
06/19/2020,10:34,125.318,125.42,125.318,125.42,2102
06/19/2020,10:35,125.41,125.49,125.39,125.475,3541
06/19/2020,10:36,125.49,125.535,125.47,125.47,4354
06/19/2020,10:37,125.44,125.44,125.3112,125.38,7011
06/19/2020,10:38,125.39,125.52,125.39,125.52,6239
06/19/2020,10:39,125.525,125.63,125.525,125.63,2470
06/19/2020,10:40,125.63,125.63,125.44,125.47,4431
06/19/2020,10:41,125.47,125.66,125.41,125.65,18583
06/19/2020,10:42,125.63,125.75,125.62,125.75,9537
06/19/2020,10:43,125.75,125.78,125.65,125.74,4878
06/19/2020,10:44,125.77,125.8,125.73,125.8,2154
06/19/2020,10:45,125.79,125.79,125.63,125.67,4077
06/19/2020,10:46,125.7,125.81,125.7,125.77,5107
06/19/2020,10:47,125.76,125.92,125.76,125.8,3375
06/19/2020,10:48,125.83,125.875,125.815,125.843,3703
06/19/2020,10:49,125.83,125.84,125.78,125.78,4003
06/19/2020,10:50,125.7875,125.79,125.64,125.74,6836
06/19/2020,10:51,125.72,125.7548,125.63,125.7548,3250
06/19/2020,10:52,125.79,125.81,125.73,125.75,5345
06/19/2020,10:53,125.77,125.78,125.69,125.69,5558
06/19/2020,10:54,125.7,125.7881,125.7,125.765,5060
06/19/2020,10:55,125.744,125.744,125.54,125.6096,3766
06/19/2020,10:56,125.59,125.59,125.43,125.43,2987
06/19/2020,10:57,125.405,125.405,125.25,125.25,1439
06/19/2020,10:58,125.28,125.3,125.2,125.22,13970
06/19/2020,10:59,125.225,125.24,125.16,125.17,3522
06/19/2020,11:00,125.1,125.26,125.1,125.2,9288
